Numer identyfikacyjny gracza,Imię gracza,Nazwisko gracza,Płeć,Data urodzenia,Data dołączenia,Miasto zamieszkania,Status członkostwa
1150,Ewa,Gabryelczyk,K,2001-05-04,2023-04-05 22:48:13,Reda,Silver
1151,Apolonia,Judek,K,2004-03-08,2022-04-29 02:31:35,Goleniów,Silver
1152,Kalina,Kandora,K,1996-12-17,2022-03-20 21:36:25,Łódź,Standard
1153,Roksana,Maciejko,K,2001-10-29,2023-12-08 09:50:57,Kędzierzyn-Koźle,Standard
1154,Melania,Famuła,K,1997-05-07,2022-02-25 09:44:49,Gniezno,Standard
1155,Marianna,Prażmo,K,1959-12-08,2022-01-24 16:55:10,Kościan,Silver
1156,Karina,Gendek,K,1949-10-24,2022-02-25 21:42:46,Jelenia Góra,Standard
1157,Witold,Kurpisz,M,1966-10-28,2022-09-28 13:13:56,Bielsko-Biała,Silver
1158,Nicole,Sadoch,K,2002-09-29,2022-10-23 07:03:40,Zakopane,Standard
1159,Przemysław,Bancerz,M,1993-10-26,2022-06-06 21:36:17,Szczecin,Standard
1160,Lidia,Teterycz,K,2003-09-05,2023-06-18 04:30:25,Jaworzno,Silver
1161,Sara,Miksza,K,1969-04-03,2023-12-16 21:57:54,Ząbki,Standard
1162,Arkadiusz,Kosela,M,1993-03-18,2022-07-13 09:23:40,Chełm,VIP
1163,Jakub,Gonet,M,1998-06-22,2023-12-22 02:05:59,Kłodzko,Standard
1164,Malwina,Ankiewicz,K,1983-10-13,2022-07-03 15:49:38,Bolesławiec,Standard
1165,Krystyna,Labudda,K,1989-10-17,2022-01-03 07:12:47,Rumia,Standard
1166,Piotr,Żywica,M,1983-01-25,2023-09-06 17:46:53,Ełk,VIP
1167,Emil,Kajdan,M,1985-06-11,2023-07-22 10:09:26,Czechowice-Dziedzice,Gold
1168,Liwia,Chwedczuk,K,1997-01-09,2022-04-11 16:46:46,Ostrów Wielkopolski,Standard
1169,Wiktor,Dobosiewicz,M,2004-04-16,2023-05-17 02:52:56,Ciechanów,Standard
1170,Tymoteusz,Jędrzejek,M,1984-08-03,2022-03-24 08:07:17,Piastów,Standard
1171,Angelika,Pawełkiewicz,K,1989-04-25,2023-07-17 16:51:02,Żywiec,Gold
1172,Nela,Hanus,K,1974-08-04,2023-06-12 03:01:43,Puławy,Silver
1173,Justyna,Karczmarek,K,2004-07-17,2023-04-03 02:17:29,Bielsko-Biała,Standard
1174,Anita,Kłysz,K,1965-07-02,2022-11-23 13:51:13,Mysłowice,Standard
1175,Sandra,Bik,K,1999-10-28,2022-12-24 06:10:39,Sopot,Standard
1176,Paweł,Stypa,M,1994-12-20,2022-06-18 01:14:53,Nowa Sól,Standard
1177,Anita,Ciesielka,K,1962-01-19,2023-02-22 00:26:18,Skarżysko-Kamienna,Silver
1178,Borys,Jerzyk,M,1993-02-23,2022-02-22 16:34:11,Czechowice-Dziedzice,Standard
1179,Justyna,Gebauer,K,1949-11-08,2023-03-23 07:19:33,Dębica,Gold
1180,Ewelina,Pajda,K,2000-02-13,2022-09-03 00:46:00,Słupsk,Silver
1181,Maksymilian,Przewoźniak,M,1997-01-31,2022-10-19 12:10:51,Tarnowskie Góry,Standard
1182,Natasza,Klyta,K,1948-07-18,2022-10-31 08:36:09,Siedlce,Standard
1183,Tymon,Zimniak,M,1958-03-19,2022-06-16 07:55:26,Radomsko,VIP
1184,Nicole,Ankiewicz,K,1954-09-03,2022-04-28 23:27:36,Suwałki,Silver
1185,Karol,Januchta,M,1966-06-03,2023-05-03 07:45:24,Płock,Silver
1186,Robert,Starek,M,2000-07-03,2022-11-26 11:45:14,Olsztyn,Standard
1187,Jacek,Cebo,M,1990-12-24,2022-08-26 17:39:14,Sandomierz,Silver
1188,Maurycy,Szajda,M,1948-07-22,2022-02-27 00:21:44,Reda,VIP
1189,Eliza,Cegła,K,1946-09-06,2022-07-02 12:29:55,Jastrzębie-Zdrój,Standard
1190,Arkadiusz,Sajda,M,1947-11-23,2022-12-09 06:21:29,Chrzanów,Standard
1191,Anastazja,Surdyk,K,1967-10-28,2022-09-27 09:37:15,Nysa,Silver
1192,Ewa,Grzenia,K,1955-08-28,2022-08-31 22:56:16,Kalisz,Gold
1193,Adrian,Mielke,M,1949-02-05,2023-12-17 09:20:16,Piekary Śląskie,Gold
1194,Marianna,Bartłomiejczyk,K,2000-08-04,2023-11-16 08:52:50,Bydgoszcz,Silver
1195,Maks,Zander,M,1962-01-11,2023-03-14 01:41:02,Skarżysko-Kamienna,Gold
1196,Kalina,Dykas,K,1946-01-06,2023-05-29 11:47:52,Jawor,Standard
1197,Artur,Górkiewicz,M,1976-03-17,2022-01-28 13:05:14,Wyszków,Standard
1198,Marcel,Kuświk,M,2006-12-20,2022-02-17 16:56:45,Ostrowiec Świętokrzyski,Silver
1199,Róża,Kołsut,K,1989-06-29,2023-11-08 08:48:31,Sieradz,Standard
1200,Damian,Jajko,M,1954-09-22,2023-04-01 09:33:01,Malbork,Standard
1201,Jakub,Szabla,M,1992-06-15,2022-03-04 16:59:37,Radom,Standard
1202,Apolonia,Dziuda,K,1988-10-02,2023-03-12 05:08:48,Bielsko-Biała,Standard
1203,Kacper,Kordys,M,1970-02-18,2023-11-08 22:17:55,Przemyśl,Silver
1204,Krystyna,Fiedler,K,1969-12-05,2022-12-23 09:47:01,Wałbrzych,Standard
1205,Ida,Wandas,K,1951-05-20,2023-02-15 00:12:14,Toruń,Standard
1206,Liwia,Tylman,K,2006-07-19,2023-03-05 03:56:04,Lubin,Standard
1207,Dawid,Dorobek,M,2000-02-01,2022-09-22 05:42:07,Tarnów,Standard
1208,Apolonia,Saczuk,K,1975-03-06,2023-04-08 13:06:37,Wałcz,Standard
1209,Miłosz,Pasierbek,M,1960-01-03,2022-03-04 23:25:43,Zamość,Standard
1210,Róża,Kumorek,K,1946-03-26,2022-02-08 11:22:30,Gorzów Wielkopolski,Standard
1211,Miłosz,Kuliberda,M,1967-05-19,2022-05-15 01:36:55,Piotrków Trybunalski,Silver
1212,Adam,Kala,M,1958-04-20,2022-03-24 00:18:32,Grudziądz,Standard
1213,Michał,Rejmak,M,1978-09-28,2023-03-01 15:19:58,Świecie,Standard
1214,Karina,Liśkiewicz,K,1960-01-03,2022-05-10 14:59:25,Skarżysko-Kamienna,Standard
1215,Stanisław,Miecznik,M,1968-07-28,2023-05-18 01:48:27,Grodzisk Mazowiecki,Silver
1216,Melania,Zawalich,K,2003-07-08,2022-08-25 01:53:15,Myszków,Silver
1217,Hubert,Kurzac,M,2007-10-02,2022-06-09 09:26:23,Czechowice-Dziedzice,Standard
1218,Marek,Fidler,M,1968-01-25,2023-07-21 22:02:28,Zambrów,Standard
1219,Kazimierz,Kalarus,M,2004-04-22,2022-10-09 10:38:11,Kalisz,Standard
1220,Róża,Zaranek,K,1997-07-05,2023-09-22 13:17:17,Skawina,Standard
1221,Marianna,Drobny,K,1958-05-13,2022-10-12 09:12:27,Krosno,Standard
1222,Józef,Chromy,M,1946-04-20,2023-04-10 00:56:34,Biłgoraj,Standard
1223,Gaja,Jakóbik,K,2001-09-02,2022-12-22 16:59:43,Jasło,Standard
1224,Karina,Latoszek,K,1950-08-23,2023-03-03 09:19:33,Środa Wielkopolska,Standard
1225,Bianka,Kolber,K,1965-11-25,2023-09-16 12:42:07,Łaziska Górne,Standard
1226,Kacper,Wasiuk,M,1992-06-24,2022-02-08 11:05:43,Żagań,Silver
1227,Justyna,Łyś,K,2006-03-10,2023-10-03 03:14:49,Bochnia,Standard
1228,Rozalia,Pawliszyn,K,1958-07-22,2022-07-29 15:17:30,Ostrów Mazowiecka,Standard
1229,Jeremi,Pyziak,M,1948-12-29,2023-02-07 01:56:34,Rzeszów,Gold
1230,Nela,Jaśko,K,1949-08-17,2022-12-27 02:36:50,Sanok,VIP
1231,Anita,Brodowicz,K,1946-05-05,2023-09-18 00:48:59,Czerwionka-Leszczyny,Standard
1232,Blanka,Cabała,K,1959-09-05,2022-01-15 22:50:50,Kraśnik,Gold
1233,Inga,Kozdra,K,2003-09-16,2023-02-03 18:27:04,Malbork,Standard
1234,Ida,Furga,K,1962-02-03,2022-05-17 03:42:22,Tczew,Standard
1235,Elżbieta,Juśkiewicz,K,1966-05-21,2022-11-22 09:56:28,Pruszków,Standard
1236,Antoni,Kieszek,M,1975-05-25,2022-11-13 14:22:53,Łowicz,Standard
1237,Norbert,Pęciak,M,1958-03-15,2022-02-22 04:08:30,Wyszków,Standard
1238,Tadeusz,Wrochna,M,1999-04-21,2023-07-14 01:13:10,Rzeszów,Silver
1239,Adrianna,Wojtyna,K,1988-07-27,2022-07-30 12:44:13,Łaziska Górne,Standard
1240,Tobiasz,Kozień,M,1978-02-20,2022-04-01 14:18:11,Łódź,Standard
1241,Kornelia,Golenia,K,1956-01-04,2022-01-21 03:35:25,Świętochłowice,Standard
1242,Dawid,Teterycz,M,1986-01-28,2023-05-02 16:37:17,Mielec,Standard
1243,Natasza,Matulka,K,1993-04-26,2022-12-20 01:44:39,Dzierżoniów,Silver
1244,Sara,Białka,K,1975-07-01,2022-04-30 07:00:37,Stalowa Wola,Standard
1245,Nicole,Warych,K,1947-05-06,2023-12-11 11:10:28,Gdynia,Standard
1246,Aniela,Sadza,K,1962-02-03,2023-03-26 09:24:01,Gorlice,Silver
1247,Stanisław,Szczepan,M,2000-08-06,2023-11-26 18:02:55,Marki,Standard
1248,Cyprian,Kalista,M,1995-06-26,2022-06-20 15:52:07,Skierniewice,Gold
1249,Norbert,Kultys,M,1995-04-11,2022-06-21 00:09:42,Skierniewice,Silver
1250,Nikodem,Hadała,M,1982-08-19,2022-05-31 09:43:00,Ostrów Wielkopolski,Gold
1251,Roksana,Staniczek,K,1997-01-20,2023-05-25 09:52:24,Gorlice,Standard
1252,Damian,Tworzydło,M,1971-02-10,2022-12-28 17:53:15,Otwock,Standard
1253,Adrianna,Kolanko,K,1945-11-26,2022-03-22 06:25:43,Bełchatów,Silver
1254,Borys,Kurpisz,M,1960-09-27,2023-06-17 19:59:41,Brzeg,Standard
1255,Jeremi,Grupa,M,1987-03-16,2023-05-18 04:52:23,Przemyśl,Gold
1256,Maksymilian,Trzepizur,M,1970-08-30,2022-05-31 07:19:04,Żagań,Standard
1257,Inga,Gregorczuk,K,1987-02-08,2023-07-26 16:34:54,Radom,Standard
1258,Stefan,Oziębło,M,1956-10-16,2023-11-04 04:20:12,Katowice,Standard
1259,Cezary,Klęczar,M,1971-09-04,2023-12-08 13:48:48,Jelenia Góra,Standard
1260,Stefan,Członka,M,1945-10-06,2022-08-02 13:46:07,Gliwice,Gold
1261,Jędrzej,Świerad,M,1952-04-25,2022-04-27 10:52:15,Lubin,Standard
1262,Iwo,Kolarczyk,M,1989-10-31,2022-07-07 16:22:34,Tczew,Gold
1263,Jacek,Małas,M,1948-01-21,2023-03-22 21:19:41,Kraśnik,Silver
1264,Leon,Samoraj,M,1971-06-11,2023-05-20 02:48:18,Jarocin,Gold
1265,Tola,Prucnal,K,1967-11-22,2022-06-28 06:42:31,Polkowice,Standard
1266,Rafał,Wawrzkiewicz,M,1963-08-19,2022-12-29 04:34:54,Pszczyna,Silver
1267,Kornelia,Fac,K,2006-01-17,2023-03-05 14:52:28,Żary,Standard
1268,Karol,Byra,M,2003-06-20,2022-05-07 20:34:34,Rzeszów,Silver
1269,Gaja,Zawartka,K,1987-02-13,2022-01-12 20:44:37,Bielawa,Standard
1270,Sylwia,Beśka,K,1970-12-05,2022-09-26 23:24:25,Warszawa,Standard
1271,Oskar,Sadlik,M,1951-07-08,2022-05-14 06:42:43,Wejherowo,Standard
1272,Ida,Sobisz,K,1951-02-21,2022-08-25 23:39:11,Swarzędz,Silver
1273,Maciej,Krzeszowiec,M,1952-03-16,2023-02-03 11:59:01,Opole,Gold
1274,Olga,Małycha,K,1996-10-23,2023-07-03 16:22:12,Zduńska Wola,Silver
1275,Gaja,Gierasimiuk,K,1954-05-29,2023-03-16 16:04:09,Polkowice,Standard
1276,Witold,Szajner,M,2003-10-24,2023-04-21 09:29:52,Grudziądz,Standard
1277,Marcin,Romańczyk,M,1962-06-07,2023-01-30 19:44:33,Sandomierz,Standard
1278,Monika,Bartłomiejczyk,K,2001-09-25,2023-05-12 10:43:55,Przemyśl,Standard
1279,Karina,Lenarcik,K,1969-06-28,2023-03-22 01:20:13,Wodzisław Śląski,Silver
1280,Cezary,Dyjach,M,1950-01-24,2022-07-20 01:21:59,Ząbki,Silver
1281,Bartek,Łaskawiec,M,1973-06-26,2023-09-06 19:03:47,Ruda Śląska,Gold
1282,Oliwier,Bereda,M,1993-07-30,2023-09-02 09:44:43,Chorzów,Silver
1283,Sara,Stelmasiak,K,1989-12-06,2022-04-27 15:10:32,Żory,Standard
1284,Inga,Ziemann,K,1971-07-04,2022-12-31 10:15:50,Śrem,Standard
1285,Dagmara,Rubaj,K,1983-12-10,2022-03-08 05:40:28,Inowrocław,Gold
1286,Marcelina,Zięcik,K,1961-09-21,2022-06-10 07:54:07,Łaziska Górne,Silver
1287,Lidia,Zdancewicz,K,1997-06-07,2022-07-19 02:08:01,Nysa,Silver
1288,Klara,Supernak,K,1969-07-28,2023-04-13 09:56:56,Wołomin,Standard
1289,Kalina,Ropiak,K,1988-01-04,2022-02-21 16:15:24,Jarocin,Silver
1290,Karina,Szuta,K,1968-12-28,2022-03-19 16:47:15,Reda,Standard
1291,Grzegorz,Tylus,M,1982-06-02,2023-04-22 06:56:28,Luboń,Standard
1292,Kamila,Gajcy,K,1950-04-22,2023-02-08 20:13:37,Malbork,Silver
1293,Marika,Kiełbowicz,K,1962-12-12,2022-04-06 06:42:17,Mikołów,Silver
1294,Dagmara,Potaczek,K,1950-04-24,2023-07-14 17:08:35,Głogów,Silver
1295,Róża,Porzucek,K,1960-10-10,2023-08-28 07:41:47,Wałcz,Standard
1296,Marcelina,Wasiewicz,K,1949-07-14,2023-05-20 01:18:39,Radom,Standard
1297,Emil,Drabczyk,M,1962-02-02,2022-10-02 10:54:34,Bielsko-Biała,Silver
1298,Igor,Jonak,M,2006-07-03,2022-05-13 06:16:46,Tczew,Standard
1299,Juliusz,Brząkała,M,1971-02-25,2022-07-28 19:52:20,Środa Wielkopolska,Standard
1300,Inga,Mueller,K,1979-06-02,2022-05-18 17:40:18,Ząbki,Standard
1301,Patryk,Wac,M,1953-09-08,2023-05-11 20:19:43,Sanok,Standard
1302,Bartek,Herbut,M,1953-11-27,2022-07-31 09:08:04,Olkusz,Standard
1303,Olaf,Drewicz,M,1965-11-28,2022-11-17 15:53:34,Koło,Standard
1304,Tadeusz,Komperda,M,1958-02-24,2023-01-23 03:42:34,Tomaszów Mazowiecki,Gold
1305,Janina,Hynek,K,1952-03-02,2022-06-29 17:16:21,Polkowice,Standard
1306,Olgierd,Skrobek,M,1949-04-28,2023-10-01 09:30:51,Puławy,Gold
1307,Kaja,Nesterowicz,K,1980-12-13,2022-03-11 05:34:08,Gniezno,Silver
1308,Apolonia,Zygmuntowicz,K,1963-05-06,2023-03-06 17:43:05,Dąbrowa Górnicza,Standard
1309,Kornelia,Guściora,K,1992-07-02,2022-03-22 18:31:11,Mikołów,Standard
1310,Piotr,Warczak,M,1978-09-07,2023-02-02 23:16:12,Bielsko-Biała,Silver
1311,Angelika,Godyń,K,1946-10-14,2022-12-28 18:09:26,Police,Gold
1312,Kornel,Władyka,M,1955-06-21,2023-11-11 17:13:22,Olkusz,Standard
1313,Alan,Matyjaszek,M,1980-04-16,2023-05-09 16:16:50,Wejherowo,Standard
1314,Ewa,Betlej,K,1973-11-12,2022-05-07 02:42:39,Augustów,Gold
1315,Tadeusz,Burza,M,1981-10-20,2022-01-20 06:24:03,Pruszcz Gdański,Silver
1316,Ida,Łaszcz,K,2004-07-06,2023-11-22 21:38:18,Poznań,Standard
1317,Jeremi,Chaberek,M,1970-12-21,2023-11-03 06:01:39,Katowice,Standard
1318,Nicole,Ignatiuk,K,1998-09-24,2023-01-11 22:01:23,Bydgoszcz,Silver
1319,Lidia,Kapałka,K,1953-07-09,2022-05-11 05:25:21,Łowicz,Silver
1320,Janina,Zmyślony,K,1958-09-20,2023-01-24 23:10:59,Sochaczew,Silver
1321,Maciej,Siergiej,M,1977-09-04,2022-04-09 04:38:38,Brzeg,Standard
1322,Bartek,Morcinek,M,2007-01-07,2023-11-19 15:57:19,Biłgoraj,Standard
1323,Emil,Sinkiewicz,M,1980-03-04,2023-03-31 12:13:20,Olkusz,Gold
1324,Róża,Wikło,K,2001-02-20,2023-07-17 17:57:55,Czerwionka-Leszczyny,Standard
1325,Aurelia,Trąbka,K,1977-11-29,2023-01-05 04:23:59,Chełm,Standard
1326,Ada,Sarota,K,2003-09-25,2023-07-10 03:33:53,Sandomierz,Gold
1327,Marcelina,Policht,K,1986-09-28,2022-08-07 01:08:13,Radom,Silver
1328,Dawid,Jaremek,M,1969-05-10,2022-10-10 17:03:18,Ostrowiec Świętokrzyski,Standard
1329,Róża,Jas,K,2006-07-03,2022-08-25 07:53:54,Zawiercie,Standard
1330,Mariusz,Golak,M,1973-08-15,2022-05-21 10:47:00,Bochnia,Silver
1331,Tymon,Lenarcik,M,1948-11-15,2023-11-27 09:12:55,Grudziądz,Gold
1332,Elżbieta,Tomaszkiewicz,K,1981-05-20,2022-11-12 02:02:40,Częstochowa,Silver
1333,Julianna,Mazanek,K,1951-04-17,2022-01-06 19:57:34,Gdańsk,Silver
1334,Elżbieta,Kopciuch,K,1981-08-15,2022-07-23 21:07:14,Czechowice-Dziedzice,Standard
1335,Aurelia,Kobak,K,1973-07-11,2023-03-07 04:23:07,Myszków,Silver
1336,Sandra,Kacperek,K,1953-10-07,2023-04-12 20:51:32,Elbląg,Silver
1337,Wojciech,Kondej,M,1992-07-05,2022-11-26 11:51:04,Zduńska Wola,Standard
1338,Nataniel,Chaberek,M,1978-11-03,2022-11-04 15:26:26,Tarnobrzeg,VIP
1339,Mikołaj,Grycz,M,1985-10-09,2022-05-21 12:54:11,Turek,Silver
1340,Damian,Durczok,M,2005-08-29,2023-02-06 11:36:09,Jawor,Standard
1341,Aleks,Kałek,M,1992-10-18,2022-02-20 20:07:06,Stargard Szczeciński,Silver
1342,Tobiasz,Trzyna,M,1996-06-07,2022-06-20 12:33:52,Włocławek,Standard
1343,Monika,Para,K,1960-02-03,2023-04-22 04:36:39,Łomża,Gold
1344,Kajetan,Kiełbowicz,M,1945-10-13,2023-09-24 11:00:36,Jasło,Silver
1345,Olgierd,Rogal,M,1953-03-24,2023-03-30 05:48:26,Bochnia,Gold
1346,Filip,Kazberuk,M,1960-07-27,2023-02-07 07:24:01,Tomaszów Mazowiecki,Silver
1347,Tola,Kotala,K,1954-11-18,2022-05-22 17:28:20,Ciechanów,Silver
1348,Jan,Hawro,M,1952-03-19,2022-04-18 12:57:52,Kętrzyn,Silver
1349,Aleks,Matyszczak,M,1953-05-28,2023-01-13 09:30:41,Częstochowa,Standard
1350,Dorota,Żybura,K,1949-12-23,2023-08-23 23:00:53,Lubliniec,Standard
1351,Tomasz,Władyka,M,1988-10-26,2022-11-11 21:22:46,Szczecinek,Standard
1352,Alex,Kopyto,M,1966-08-06,2022-04-29 05:06:36,Zambrów,Standard
1353,Rafał,Fleszar,M,1990-02-28,2022-09-12 13:38:55,Bełchatów,Gold
1354,Mateusz,Ksel,M,1959-10-26,2022-05-13 23:14:04,Brzeg,Standard
1355,Marianna,Jasnoch,K,1997-08-24,2023-11-01 10:45:45,Kościerzyna,Silver
1356,Lidia,Forysiak,K,1958-01-22,2022-09-01 01:29:54,Goleniów,VIP
1357,Inga,Dziewa,K,1981-01-03,2022-12-11 21:42:20,Kalisz,Silver
1358,Bianka,Kaszkowiak,K,1992-04-30,2022-05-25 01:40:50,Bydgoszcz,Standard
1359,Filip,Mieszała,M,1959-12-23,2023-01-15 07:13:36,Myszków,Standard
1360,Dawid,Mućko,M,1977-02-27,2022-09-14 11:21:06,Lubliniec,Standard
1361,Ida,Nurek,K,2003-12-26,2022-07-22 12:54:18,Gniezno,Standard
1362,Dagmara,Jarmużek,K,1961-10-07,2022-12-29 04:57:06,Gorzów Wielkopolski,VIP
1363,Klara,Siergiej,K,1952-08-12,2022-11-10 08:07:00,Łuków,Standard
1364,Agnieszka,Olas,K,2000-03-17,2022-03-22 11:36:41,Poznań,Gold
1365,Ewa,Tabiś,K,1995-08-15,2023-12-05 18:55:35,Oława,Standard
1366,Karol,Małycha,M,1950-07-09,2022-08-02 02:56:07,Wieluń,Gold
1367,Wojciech,Wygoda,M,1947-03-12,2022-07-28 14:43:23,Świętochłowice,Standard
1368,Elżbieta,Kamieniarz,K,1984-11-30,2022-03-30 05:18:01,Nowy Dwór Mazowiecki,Gold
1369,Gabriel,Nieradzik,M,1971-11-21,2023-05-12 17:16:20,Marki,Silver
1370,Janina,Dulemba,K,1980-05-18,2022-02-23 20:42:16,Suwałki,Silver
1371,Bianka,Nazarewicz,K,1973-09-05,2023-10-19 19:52:43,Piaseczno,Silver
1372,Anastazja,Truchan,K,2004-10-23,2023-11-10 16:31:01,Jastrzębie-Zdrój,Silver
1373,Sonia,Wyciszkiewicz,K,1950-08-16,2023-08-30 16:51:01,Zakopane,Silver
1374,Leon,Drobniak,M,1991-11-20,2022-11-18 21:59:23,Wągrowiec,Silver
1375,Błażej,Szóstak,M,1952-02-13,2023-02-10 18:14:21,Sandomierz,Standard
1376,Kalina,Prasek,K,1973-11-21,2023-01-24 12:01:25,Kraków,Silver
1377,Kaja,Sysło,K,1955-02-27,2023-11-11 10:33:51,Tomaszów Mazowiecki,Standard
1378,Sandra,Latuszek,K,1990-10-17,2022-09-15 18:28:12,Mielec,Standard
1379,Aleksander,Kłoczko,M,1989-08-27,2022-06-27 22:37:12,Krosno,Standard
1380,Krystyna,Szyguła,K,1992-12-12,2023-05-20 18:05:30,Szczecinek,Silver
1381,Leon,Styn,M,2003-04-08,2022-02-18 14:21:46,Sopot,Gold
1382,Justyna,Kempka,K,1971-07-21,2023-08-29 00:21:25,Nowa Sól,Standard
1383,Dominik,Chmara,M,1987-04-08,2022-07-18 06:33:16,Tychy,Silver
1384,Marcelina,Dietrich,K,1969-04-10,2022-06-11 21:00:56,Ostróda,Standard
1385,Nikodem,Feret,M,1950-10-19,2023-02-07 07:11:26,Świętochłowice,Standard
1386,Lidia,Rok,K,1956-08-20,2022-02-20 00:58:58,Kraśnik,Silver
1387,Ryszard,Kolonko,M,1965-07-29,2023-04-11 19:43:57,Mielec,Silver
1388,Apolonia,Kubieniec,K,1964-01-25,2023-12-20 18:54:43,Olkusz,Silver
1389,Ewelina,Ciaś,K,1957-08-02,2022-10-31 18:24:20,Ząbki,Gold
1390,Roksana,Znojek,K,1955-06-10,2023-11-28 17:46:32,Inowrocław,Standard
1391,Franciszek,Wolff,M,1992-03-24,2022-01-11 04:52:57,Zakopane,Standard
1392,Anastazja,Wocial,K,1959-05-23,2022-08-29 11:22:24,Tomaszów Mazowiecki,Silver
1393,Witold,Windak,M,1996-02-26,2022-07-17 17:28:41,Kołobrzeg,Silver
1394,Wojciech,Jessa,M,1944-12-16,2023-05-27 07:10:25,Częstochowa,Silver
1395,Olaf,Bisaga,M,2005-01-18,2022-04-09 10:51:00,Police,Gold
1396,Kalina,Hojka,K,1950-09-23,2023-01-20 10:09:28,Augustów,Gold
1397,Kalina,Ułanowicz,K,1948-01-05,2022-12-01 06:10:36,Kielce,Gold
1398,Ignacy,Gierek,M,1947-06-01,2022-03-07 01:30:11,Zambrów,Standard
1399,Anita,Bieniak,K,1994-12-10,2022-04-21 19:48:10,Dzierżoniów,Silver
1400,Karina,Kierepka,K,1981-04-16,2022-07-13 06:06:16,Stalowa Wola,Silver
1401,Stanisław,Brodawka,M,1948-05-09,2022-01-02 12:46:28,Toruń,Standard
1402,Bianka,Sroga,K,1986-11-12,2023-06-11 20:21:32,Warszawa,Standard
1403,Józef,Krefta,M,1999-01-23,2022-07-11 15:16:10,Piła,Gold
1404,Natan,Zimniak,M,1979-06-27,2022-01-10 07:39:19,Świętochłowice,Gold
1405,Marianna,Zioła,K,1988-06-01,2023-10-16 10:40:40,Mińsk Mazowiecki,Gold
1406,Konrad,Palus,M,1947-04-06,2023-10-18 11:56:20,Łomża,Gold
1407,Ernest,Langiewicz,M,1954-02-11,2022-10-11 20:43:12,Świebodzice,Silver
1408,Marcin,Galon,M,1974-11-19,2023-08-20 21:18:44,Wrocław,Standard
1409,Tymoteusz,Linka,M,1954-06-06,2022-08-08 13:23:58,Stargard Szczeciński,Gold
1410,Alan,Szyma,M,1996-09-15,2023-10-18 18:31:14,Wejherowo,Standard
1411,Kalina,Faryna,K,1949-07-28,2022-01-20 08:10:35,Bydgoszcz,Silver
1412,Karina,Krzosek,K,1948-04-05,2022-07-30 04:13:11,Krosno,Standard
1413,Stanisław,Wrochna,M,1977-04-24,2022-02-08 06:34:25,Opole,Standard
1414,Kalina,Szajda,K,1945-07-17,2022-12-09 01:22:41,Bełchatów,Standard
1415,Anastazja,Trzcionka,K,1990-05-04,2023-12-19 13:43:09,Chojnice,Standard
1416,Kazimierz,Kryk,M,1983-09-06,2023-05-06 02:09:27,Rybnik,Silver
1417,Franciszek,Andziak,M,1974-05-02,2023-05-02 15:41:55,Legnica,Standard
1418,Jakub,Madura,M,1966-11-23,2023-01-10 08:44:21,Częstochowa,Standard
1419,Konstanty,Szelest,M,1951-06-08,2023-02-12 08:20:02,Zambrów,Silver
1420,Jan,Poreda,M,1966-04-05,2023-05-28 20:19:04,Gdańsk,Standard
1421,Andrzej,Chachuła,M,2007-03-14,2023-07-07 03:08:44,Ełk,Standard
1422,Janina,Trochim,K,1955-03-18,2023-02-05 06:56:07,Szczecin,Silver
1423,Melania,Kapera,K,1967-04-11,2022-04-13 06:22:40,Zielona Góra,Gold
1424,Jakub,Brańka,M,2006-05-26,2022-10-16 03:17:00,Świętochłowice,Silver
1425,Grzegorz,Żołądkiewicz,M,1945-06-29,2022-08-26 08:25:24,Zambrów,Silver
1426,Melania,Zbroszczyk,K,1961-06-12,2022-01-29 07:50:41,Świętochłowice,Standard
1427,Roksana,Sarniak,K,1951-12-12,2022-08-01 02:09:59,Słupsk,Standard
1428,Tola,Saran,K,1999-02-17,2023-05-16 11:36:22,Brzeg,Silver
1429,Inga,Sadoch,K,1948-07-27,2023-07-21 08:10:03,Białogard,Gold
1430,Radosław,Wołkowicz,M,2002-01-13,2023-01-19 19:54:17,Gniezno,Standard
1431,Angelika,Minta,K,1983-07-03,2022-07-06 11:28:05,Piła,Silver
1432,Bianka,Kolonko,K,2002-01-07,2023-12-10 06:23:22,Wągrowiec,Standard
1433,Maurycy,Policht,M,1990-10-15,2023-10-14 10:43:44,Ruda Śląska,Standard
1434,Melania,Mortka,K,1976-09-24,2022-04-21 18:58:09,Radom,Gold
1435,Hubert,Kupś,M,1986-01-05,2023-09-09 08:01:41,Cieszyn,Standard
1436,Piotr,Makurat,M,1971-12-11,2022-03-25 23:19:21,Kielce,Gold
1437,Klara,Dyjas,K,1954-10-27,2023-01-25 17:35:46,Jasło,Standard
1438,Janina,Janiuk,K,1990-03-12,2022-03-10 06:12:11,Myszków,Gold
1439,Julian,Leszkiewicz,M,1977-11-03,2022-01-01 22:24:37,Świnoujście,Standard
1440,Mateusz,Miętka,M,1979-08-30,2022-05-16 13:23:50,Kalisz,Standard
1441,Aurelia,Fuławka,K,2004-11-20,2023-02-20 00:53:49,Żywiec,Gold
1442,Nataniel,Kędziorek,M,1988-01-05,2022-02-03 22:11:54,Kołobrzeg,Silver
1443,Adam,Ścibior,M,2004-02-16,2022-03-06 06:29:18,Mysłowice,Standard
1444,Radosław,Kłysz,M,1951-05-14,2022-09-10 13:02:30,Jaworzno,Silver
